carbon ,nitrogen
0.2,12.2
0.2,9.9
0.3,11.1
0.2,4.6
0.2,8.2
0.2,7.8
0.2,2.5
0.2,9.3
0.3,18
0.2,4.8
0.2,6.6
0.2,7.6
0.3,4.6
0.2,6.2
0.2,6.2
0.3,7.3
0.2,7.3
0.2,3.6
0.3,7.8
0.3,8.9
0.2,5.6
0.2,4
0.3,3.6
0.2,10.1
0.2,5.5
0.1,3.4
0.1,3.4
0.2,4.6
0.2,4.9
0.2,8.2
0.2,7.7
0.3,6
0.3,8.2
0.3,14.3
0.2,10.3
0.2,9.7
0.2,5.5
0.2,11.9
0.2,4.4
0.3,4.1
0.2,5.9
0.3,3.4
0.3,5.3
0.3,6.8
0.3,5.8
0.3,5.5
0.1,5.3
0.2,9.9
0.1,3.8
0.2,6.7
0.2,3.7
0.2,10
0.1,1
0.2,3.3
0.1,6
0.2,11.1
0.2,11.9
0.3,6.8
0.3,4.3
0.3,4.9
0.3,4.1
0.3,8.7
0.3,8.4
0.3,7.2
0.2,4.8
0.3,5.5
0.2,3.8
0.4,13.6
0.3,7.5
0.3,5.1
0.3,4.3
0.3,2.2
0.3,5.3
0.3,4.9
0.3,2.7
0.3,1.5
0.3,2.6
0.3,5.7
0.4,12.9
0.3,3.4
0.3,4.4
0.4,9.5
0.3,6.2
0.4,6.3
0.3,5.8
0.4,5.4
0.3,4.5
0.3,4.6
0.3,7.8
0.3,10.1
0.3,4.9
0.4,3.4
0.3,5
0.3,3.1
0.4,3.5
0.3,7.3
0.3,2
0.3,5.1
0.3,3.8
0.4,4.4
0.4,2.4
0.3,2.8
0.4,2.8
0.4,2.6
0.4,4.1
0.3,4.7
0.4,6.7
0.4,3.2
0.3,1.6
0.3,5.6
0.3,6.7
0.3,3.6
0.4,6.2
0.4,8
0.4,6.2
0.4,5.3
0.3,1.4
0.4,4.4
0.4,6.1
0.1,5.4
0.1,7
0.1,8.9
0.2,16.4
0.1,8
0.1,4.3
0,5.1
0.1,10.1
0.2,17.3
0.1,5.1
0.1,6
0.2,9.2
0.1,6.5
0.1,7.7
0.1,6.1
0.1,7.8
0.1,7.5
0.1,8.6
0.2,6.8
0.2,5.8
0.2,4.9
0.3,10.2
0.2,8.5
0.2,7.1
0.1,3.9
0.1,5.4
0.1,10.1
0.1,5.9
0.1,5.5
0.1,5.2
0.1,5.7
0.1,8.9
0.1,8.4
0.1,11.1
0.2,11.5
0.1,10.1
0,3.5
0.1,6.8
0.1,6.5
0.1,7.1
0.1,8.3
0.1,7.4
0.1,6.3
0.1,7.2
0.1,9.1
0.1,12.5
0.2,19
0.1,3.7
0.1,4.5
0.2,8.4
0.2,10.3
0.1,8
0.2,13.4
0.1,10.7
0.2,10
0.1,9.9
0.1,8.9
0.1,8.1
0.2,12.1
0.2,9.2
0.2,9
0.1,7.9
0.1,9.7
0.3,21.2
0.2,14.3
0.2,13.9
0.1,7
0.2,10.3
0.2,11.3
0.2,11.6
0.3,24.3
0.2,10.5
0,3.9
0.2,4.5
0.2,7.5
0.1,7.8
0.2,11.9
0.1,9.8
0.1,6.7
0.1,8.8
0.1,18.3
0.1,11.2
0.1,17.4
0.2,13.3
0.1,7.7
0.1,4.4
0.1,6.7
0.2,10.2
0.2,15.4
0.2,18.2
0.2,4.4
0.2,5.6
0.1,6.5
0.1,7
0.1,6.8
0.1,7.5
0.2,4.1
0.2,4.3
0.2,10
0.2,7.5
0.2,10.2
0.2,10
0.1,7.1
0.2,6.9
0.1,5.9
0.2,8.2
0.2,9.7
0.2,7.3
0.1,3.2
0.2,8.6
0.2,11.7
0.1,7.7
0.1,5.7
0.1,6
0.1,6.2
0.2,10.9
0.2,6
0.2,6.8
0.2,10.6
0.2,8.9
0.1,6.6
0.2,6.3
0.2,8.4
0.3,12.7
0.2,10.6
0.1,5.3
0.1,6.9
0.1,6.1
0.1,3.8
0.2,4.4
0.2,6.3
0.2,5.1
0.2,5.5
0.3,16.1
0.2,14
0.1,5.4
0.1,6.7
0.1,8.6
0.1,5
0.1,5.8
0.1,7
0.1,4.7
0.1,5.4
0.2,9.4
0.2,10.4
0.1,5.4
0.2,8.3
0.2,10.8
0.1,9.3
0.1,6.7
0.1,7.5
0.1,10.5
0.1,12.3
0.1,5.2
0.1,7
0.1,4.3
0.1,2.6
0.1,5.7
0.1,7.7
