carbon ,pm10
0.2,34.5
0.2,36
0.3,59.7
0.3,26.9
0.2,79.2
0.2,38.9
0.2,32.8
0.2,41.4
0.2,50.2
0.2,24.2
0.2,28.8
0.3,32.9
0.2,47.9
0.2,36.7
0.2,37.8
0.3,19
0.3,19.4
0.4,26.8
0.2,21.9
0.2,29.2
0.3,27.3
0.2,26.4
0.2,26
0.2,46.2
0.3,42
0.3,43.2
0.2,30.9
0.2,45.3
0.2,59.2
0.3,22.6
0.2,19.6
0.2,26.4
0.2,31.3
0.2,35.3
0.1,35
0.1,26.7
0.2,27.7
0.2,18.9
0.2,20.6
0.2,25.1
0.2,39.7
0.2,27.4
0.3,20.1
0.3,22.2
0.2,19.4
0.3,29.5
0.3,33.6
0.2,35.7
0.2,30.1
0.2,27.5
0.2,30.8
0.1,25.6
0.2,31.4
0.2,40.3
0.3,30.3
0.3,33.2
0.2,23.1
0.2,24.3
0.3,32.1
0.3,31.5
0.3,28.9
0.3,29.5
0.3,33.4
0.3,22.9
0.2,21.9
0.1,24.1
0.2,26.1
0.1,50.3
0.2,22
0.2,16.6
0.2,20.1
0.2,19.2
0.2,27.2
0.2,30.2
0.1,17.6
0.2,22.5
0.1,19.8
0.1,20.5
0.2,22.6
0.2,30
0.2,33.3
0.2,27
0.4,28.4
0.3,27.3
0.3,32.2
0.3,18.9
0.3,32.5
0.4,28.4
0.3,33
0.3,32.1
0.3,42.8
0.3,27
0.4,16.6
0.3,29.9
0.3,38.5
0.3,40.4
0.3,34.7
0.3,23.9
0.3,32.2
0.3,29.7
0.3,30.5
0.2,28.1
0.3,43.2
0.2,30.1
0.3,27.2
0.3,29
0.4,42.9
0.3,38.5
0.3,30.2
0.3,30.9
0.3,24
0.4,28.9
0.4,42.8
0.3,28.3
0.3,25.4
0.3,30.9
0.3,60
0.3,29
0.3,19.8
0.3,22.4
0.4,27.7
0.4,34.1
0.3,38.5
0.4,35.9
0.3,22.8
0.3,24.4
0.4,31
0.4,31.5
0.3,24.8
0.4,26.6
0.3,28.6
0.4,29.1
0.3,42.9
0.3,27.3
0.3,21.7
0.3,27
0.3,31
0.3,31.3
0.3,28.5
0.3,38.9
0.4,112.2
0.3,30.6
0.3,31.2
0.4,24.5
0.3,32.3
0.3,28.1
0.3,21.6
0.3,28
0.3,27.8
0.4,28.6
0.3,27.7
0.4,19.9
0.3,19.2
0.4,19.1
0.4,22.8
0.3,37.7
0.4,26.5
0.4,27
0.3,22.5
0.3,23.2
0.3,25.8
0.3,32.6
0.3,34.2
0.4,23.5
0.4,34.1
0.4,24
0.4,18.6
0.3,21
0.4,67.5
0.4,35.1
0.3,26.7
0.4,18.4
0.4,21.3
0.1,17
0.1,19.8
0.1,28.2
0.2,46.6
0.1,39.3
0.1,25.3
0.1,20.5
0,35.5
0.1,22.4
0.2,35.2
0.1,50.7
0.1,23.4
0.2,20.7
0.1,37.7
0.1,24.1
0.1,18.1
0.1,16
0.1,18.1
0.1,23.7
0.1,31.4
0.1,16.4
0.2,23.3
0.2,81.2
0.2,27.2
0.3,25.6
0.2,39.7
0.2,44.2
0.2,26
0.1,29.7
0.1,22.7
0.1,21.3
0.1,17.7
0.1,21.7
0.1,30.3
0.1,24.3
0.1,22.4
0.1,83.4
0.1,22.7
0.1,25.9
0.2,34
0.1,36.6
0,20
0,18.2
0.1,29.5
0.1,35.7
0.1,21
0.1,19.2
0.1,17.7
0.1,14.9
0.1,15.8
0.1,15.9
0.1,21.4
0.1,25.1
0.2,35.4
0.1,33.8
0.1,25.5
0.1,19.7
0.2,20.6
0.1,21.8
0.2,30.5
0.1,23.9
0.2,27.2
0.1,18.8
0.1,27.3
0.1,26.1
0.1,26.8
0.2,28.3
0.2,27.2
0.2,28.7
0.1,30.5
0.1,25.1
0.1,21.9
0.3,39.1
0.2,31.5
0.2,37.2
0.1,39.1
0.1,26.4
0.2,26.7
0.2,25.2
0.2,26.8
0.3,34.4
0.3,43.1
0.2,30.2
0.1,20.6
0,22.7
0.2,29.4
0.2,93
0.1,23.9
0.1,34.2
0.1,49.2
0.1,26
0.1,25.1
0.1,25.2
0.1,23
0.1,25.2
0.2,72.6
0.2,57.3
0.1,37.9
0.1,22.1
0.1,23.1
0.2,24.9
0.2,32.1
0.2,34.4
0.2,72.2
0.2,109.4
0.2,68.7
0.1,53.8
0.1,35.3
0.1,18.1
0.1,28.1
0.1,38.7
0.2,10.2
0.2,9.7
0.2,14.8
0.2,24.6
0.1,31.2
0.1,22.1
0.2,19.1
0.1,13.5
0.2,21.6
0.2,25.2
0.2,22.1
0.1,28.9
0.2,22.1
0.2,34
0.1,27.1
0.1,19.2
0.1,22.2
0.2,21.4
0.2,22
0.2,23.9
0.2,30.1
0.2,21.7
0.1,14.1
0.2,14.7
0.2,19.2
0.3,29.7
0.2,26
0.1,23.3
0.1,20.5
0.1,19.2
0.1,15.5
0.2,25.3
0.2,23.7
0.2,24.1
0.3,41
0.2,35.2
0.1,21.2
0.1,21.2
0.1,23.3
0.1,14.6
0.1,13.3
0.1,14.2
0.1,10.5
0.1,11.7
0.2,16.3
0.2,21.1
0.1,16.8
0.2,23.9
0.2,27.4
0.1,35.2
0.1,22.4
0.1,27.7
0.1,22.2
0.1,23.4
0.1,23.4
0.1,25.7
0.1,21.9
0.1,17.6
0.1,32.4
0.1,28
