radiation,ozone
0.423,40
0.513,41
0.524,39
0.5,46
0.503,48
0.507,53
0.429,50
0.46,44
0.459,45
0.494,44
0.379,46
0.508,47
0.501,38
0.531,32
0.521,31
0.531,37
0.528,36
0.525,46
0.411,42
0.515,43
0.507,42
0.497,37
0.48,55
0.465,51
0.496,49
0.513,46
0.474,42
0.27,28
0.494,34
0.442,36
0.231,34
0.503,43
0.518,41
0.52,42
0.48,37
0.507,43
0.513,41
0.477,43
0.509,45
0.501,42
0.498,35
0.514,33
0.52,33
0.51,33
0.49,40
0.434,45
0.487,43
0.491,47
0.412,47
0.496,35
0.488,33
0.499,35
0.495,41
0.5,44
0.484,40
0.445,53
0.479,37
0.471,40
0.412,42
0.367,41
0.424,41
0.427,42
0.455,48
0.416,44
0.427,48
0.429,43
0.403,43
0.294,41
0.318,39
0.4,38
0.415,39
0.284,41
0.39,44
0.453,30
0.452,52
0.453,39
0.447,38
0.422,38
0.185,34
0.358,39
0.384,41
0.323,33
0.384,31
0.348,35
0.416,41
0.328,43
0.424,41
0.393,36
0.203,31
0.288,29
0.365,47
0.462,50
0.399,47
0.471,47
0.487,51
0.445,59
0.443,53
0.463,47
0.475,40
0.475,39
0.474,33
0.492,30
0.499,34
0.498,33
0.47,30
0.494,39
0.493,50
0.482,47
0.426,49
0.462,41
0.449,38
0.469,42
0.463,48
0.453,52
0.439,48
0.445,48
0.467,53
0.48,42
0.48,39
0.485,37
0.448,43
0.465,45
0.426,47
0.477,48
0.447,49
0.455,57
0.443,36
0.477,36
0.444,43
0.432,52
0.481,49
0.472,54
0.448,39
0.284,30
0.249,29
0.399,34
0.429,36
0.398,38
0.384,39
0.428,41
0.342,39
0.328,36
0.387,37
0.379,39
0.465,43
0.385,34
0.239,34
0.448,44
0.297,39
0.402,40
0.452,47
0.437,50
0.446,53
0.451,42
0.427,34
0.42,46
0.443,44
0.444,41
0.434,37
0.378,34
0.433,47
0.416,39
0.438,31
0.387,35
0.422,38
0.258,37
0.209,36
0.366,30
0.424,29
0.372,37
0.38,44
0.342,34
0.367,45
0.4,40
0.414,43
0.364,47
0.416,43
0.406,44
0.498,28
0.494,34
0.387,48
0.516,53
0.453,39
0.416,45
0.491,37
0.476,42
0.354,44
0.494,43
0.534,35
0.533,33
0.463,41
0.503,40
0.381,35
0.29,35
0.531,37
0.525,34
0.526,44
0.538,46
0.524,50
0.531,40
0.541,45
0.525,41
0.515,48
0.518,47
0.522,42
0.417,43
0.223,41
0.381,41
0.531,43
0.364,37
0.423,39
0.462,44
0.399,45
0.393,40
0.35,49
0.517,51
0.304,47
0.412,40
0.365,35
0.341,39
0.372,45
0.433,47
0.404,48
0.403,43
0.502,32
0.497,33
0.494,45
0.505,40
0.507,51
0.511,48
0.505,40
0.465,54
0.483,60
0.472,55
0.409,56
0.422,58
0.465,57
0.363,46
0.438,49
0.425,47
0.428,51
0.412,57
0.477,66
0.485,49
0.474,36
0.487,28
0.368,36
0.225,36
0.208,43
0.388,47
0.444,45
0.463,48
0.46,39
0.39,39
0.448,43
0.469,46
0.386,40
0.467,40
0.432,42
0.374,43
0.403,40
0.442,43
0.459,44
0.28,40
0.43,39
0.437,38
0.453,38
0.463,48
0.445,43
0.381,33
0.481,42
0.498,43
0.459,45
0.41,47
0.523,44
0.508,42
0.51,41
0.528,34
0.496,36
0.078,34
0.405,34
0.525,42
0.484,50
0.504,37
0.531,38
0.532,43
0.519,34
0.528,37
0.53,41
0.539,41
0.526,37
0.534,45
0.533,41
0.536,35
0.5,35
0.489,40
0.512,45
0.492,40
0.522,37
0.534,37
0.494,37
0.443,34
0.529,30
0.487,32
0.523,39
0.376,40
0.361,45
0.489,39
0.524,31
0.488,34
0.355,45
0.481,34
0.499,46
0.515,44
0.502,53
0.428,42
0.387,48
0.472,51
0.509,46
0.309,50
0.404,47
0.469,51
0.504,47
0.489,54
0.499,58
0.345,46
0.442,50
0.476,38
0.494,48
0.474,44
0.477,39
0.42,50
0.477,54
0.467,59
0.366,47
0.424,55
0.413,53
0.451,47
0.464,56
0.474,45
0.463,34
0.414,36
0.457,42
0.449,48
0.471,43
0.459,40
0.471,34
0.372,44
0.442,41
0.411,43
0.437,42
0.36,36
0.417,42
0.462,39
0.459,37
0.453,41
0.409,45
0.381,47
0.397,43
0.447,34
0.533,47
0.527,46
0.529,45
0.483,38
0.517,38
0.524,46
0.55,41
0.533,35
0.558,45
0.546,37
0.391,44
0.524,45
0.446,41
0.413,45
0.476,53
0.494,46
0.531,43
0.545,37
0.537,36
0.535,38
0.531,41
0.512,45
0.499,45
0.509,53
0.51,50
0.41,43
0.428,45
0.467,45
0.521,34
0.53,31
0.324,30
0.452,33
0.476,33
0.492,39
0.501,40
0.524,45
0.508,52
0.527,43
0.521,35
0.514,37
0.52,39
0.526,27
0.498,50
0.473,51
0.498,51
0.468,44
0.477,48
0.399,40
0.415,41
0.388,44
0.468,55
0.497,37
0.505,36
0.491,35
0.485,33
0.44,35
0.507,47
0.453,65
0.487,48
0.494,48
0.419,43
0.48,42
0.291,43
0.461,40
0.471,52
0.476,46
0.477,39
0.474,44
0.476,43
0.406,41
0.46,43
0.465,40
0.439,41
0.387,38
0.471,46
0.46,40
0.44,36
0.416,47
0.441,56
0.404,51
0.41,46
0.449,40
0.445,43
0.441,40
0.436,36
0.442,48
0.145,40
0.294,36
0.518,51
0.451,46
0.307,45
0.289,43
0.512,38
0.522,40
0.541,33
0.517,29
0.508,26
0.529,34
0.525,27
0.505,37
0.461,37
0.514,41
0.522,51
0.522,48
0.533,44
0.521,40
0.524,39
0.462,38
0.463,47
0.495,56
0.443,45
0.492,43
0.518,43
0.529,39
0.415,48
0.149,40
0.162,34
0.249,27
0.392,34
0.318,26
0.493,43
0.512,42
0.461,47
0.426,54
0.41,45
0.483,46
0.519,55
0.527,50
0.497,40
0.468,38
0.511,38
0.502,30
0.506,43
0.501,50
0.448,48
0.349,40
0.348,35
0.446,53
0.501,59
0.342,55
0.422,53
0.475,48
0.5,45
0.405,44
0.507,51
0.425,42
0.505,46
0.496,41
0.381,44
0.403,45
0.447,50
0.482,60
0.483,60
0.48,61
0.487,46
0.482,34
0.462,42
0.482,40
0.295,38
0.402,41
0.415,38
0.262,37
0.264,35
0.309,40
0.366,33
0.448,34
0.442,32
0.483,25
0.477,25
0.432,35
0.436,29
0.45,32
0.473,38
0.472,31
0.468,33
0.472,35
0.458,46
0.441,41
0.452,36
0.387,31
