temp,radiation
69.8,0.423
74.1,0.513
82.6,0.524
84,0.5
83.9,0.503
85.9,0.507
86.9,0.429
85.5,0.46
86.8,0.459
85.8,0.494
82,0.379
86.3,0.508
87,0.501
84.6,0.531
87.5,0.521
87.1,0.531
87.9,0.528
91.6,0.525
89.4,0.411
85.8,0.515
86.9,0.507
92.4,0.497
91.4,0.48
87.3,0.465
83.6,0.496
83.4,0.513
82.9,0.474
76.1,0.27
83.2,0.494
83.9,0.442
76.3,0.231
81.7,0.503
87.1,0.518
91.3,0.52
90.3,0.48
90,0.507
88.5,0.513
89.3,0.477
89.4,0.509
92.5,0.501
92.1,0.498
91.3,0.514
92.3,0.52
94.8,0.51
90.4,0.49
89.1,0.434
89.9,0.487
87,0.491
86.3,0.412
88.9,0.496
90.2,0.488
91.8,0.499
92.6,0.495
91.6,0.5
89.2,0.484
87.8,0.445
86.6,0.479
84.6,0.471
85,0.412
81.8,0.367
80.2,0.424
80.4,0.427
81.2,0.455
84.2,0.416
86.6,0.427
87,0.429
85.4,0.403
80.6,0.294
79.1,0.318
82.3,0.4
84.6,0.415
76.1,0.284
77.6,0.39
79.4,0.453
81.9,0.452
82.5,0.453
81.4,0.447
81.3,0.422
78.2,0.185
75.4,0.358
77,0.384
76.6,0.323
78.7,0.384
76.8,0.348
77.8,0.416
77.5,0.328
76.6,0.424
76.9,0.393
72.1,0.203
74.9,0.288
74.8,0.365
77.1,0.462
80,0.399
82.8,0.471
86.4,0.487
84.9,0.445
82.1,0.443
80.4,0.463
86.2,0.475
88.6,0.475
85.6,0.474
84.3,0.492
84.7,0.499
86,0.498
88.7,0.47
88.9,0.494
89.7,0.493
88.9,0.482
89,0.426
91.1,0.462
90.7,0.449
94.3,0.469
95.4,0.463
85.3,0.453
80.4,0.439
81.6,0.445
83,0.467
89.8,0.48
89.2,0.48
89.9,0.485
86.9,0.448
86.7,0.465
90.3,0.426
90.7,0.477
86.4,0.447
87.2,0.455
83.6,0.443
86,0.477
87.5,0.444
87.7,0.432
87.1,0.481
83.4,0.472
85.4,0.448
78.8,0.284
74.8,0.249
78.7,0.399
82.3,0.429
80.9,0.398
77.1,0.384
78.9,0.428
78.2,0.342
76.2,0.328
77.6,0.387
80.7,0.379
81.6,0.465
85.1,0.385
79.7,0.239
81.1,0.448
82,0.297
77.7,0.402
80.9,0.452
82.7,0.437
83.9,0.446
84,0.451
84,0.427
85,0.42
83,0.443
84.5,0.444
86.9,0.434
83,0.378
82.7,0.433
79.5,0.416
82.6,0.438
84.7,0.387
82.9,0.422
78.4,0.258
72.3,0.209
77.1,0.366
83.2,0.424
79.4,0.372
74.9,0.38
77.1,0.342
80,0.367
81.2,0.4
81,0.414
79.8,0.364
79,0.416
79.4,0.406
87.9,0.498
89.2,0.494
81.9,0.387
81.5,0.516
89.1,0.453
87.9,0.416
90.1,0.491
89.8,0.476
86.1,0.354
87.3,0.494
88.8,0.534
90.9,0.533
88.6,0.463
87.1,0.503
85.2,0.381
73.4,0.29
76.6,0.531
84.3,0.525
88.9,0.526
89.2,0.538
90.4,0.524
92.6,0.531
91.7,0.541
88.4,0.525
87.8,0.515
91.4,0.518
92.2,0.522
91.4,0.417
82.4,0.223
80.4,0.381
86,0.531
88.6,0.364
89.3,0.423
89.3,0.462
86.4,0.399
82.4,0.393
79.5,0.35
80.3,0.517
79.6,0.304
78.7,0.412
78.7,0.365
78.6,0.341
78.8,0.372
81.5,0.433
80,0.404
76.6,0.403
82.2,0.502
88.3,0.497
91.5,0.494
91.9,0.505
90.4,0.507
93.3,0.511
93.6,0.505
90.1,0.465
91.1,0.483
87.1,0.472
81.3,0.409
86.5,0.422
89.4,0.465
87.6,0.363
82.7,0.438
85.9,0.425
89.3,0.428
88.8,0.412
87.4,0.477
89.4,0.485
87,0.474
88.9,0.487
84.1,0.368
78.5,0.225
75.4,0.208
75.8,0.388
76.1,0.444
81.3,0.463
85.4,0.46
84.6,0.39
83.3,0.448
81.2,0.469
83.3,0.386
85.4,0.467
86.2,0.432
84,0.374
82.9,0.403
77.8,0.442
80.3,0.459
82.2,0.28
86.2,0.43
86,0.437
86.1,0.453
88,0.463
87.4,0.445
87.3,0.381
81.6,0.481
81.4,0.498
76.4,0.459
74.4,0.41
77,0.523
81.3,0.508
85.7,0.51
85.6,0.528
83.1,0.496
63.8,0.078
68,0.405
81.4,0.525
84,0.484
85.6,0.504
84.4,0.531
84.2,0.532
85.3,0.519
84.2,0.528
84.9,0.53
85.1,0.539
84.6,0.526
82.6,0.534
81.5,0.533
82.9,0.536
85.9,0.5
88,0.489
89.5,0.512
87.7,0.492
87.6,0.522
87.9,0.534
87.6,0.494
87.3,0.443
88.2,0.529
88.4,0.487
88.4,0.523
81.1,0.376
80,0.361
83.9,0.489
87.1,0.524
90.7,0.488
86.6,0.355
84.4,0.481
88.1,0.499
89.9,0.515
90.7,0.502
90.5,0.428
88.8,0.387
86.7,0.472
88.6,0.509
83.7,0.309
79.6,0.404
82.8,0.469
85.9,0.504
88.4,0.489
89.4,0.499
88.4,0.345
84,0.442
86.6,0.476
86,0.494
86.6,0.474
90.5,0.477
90.5,0.42
85.8,0.477
90.7,0.467
88.3,0.366
89.1,0.424
84.9,0.413
86.1,0.451
79,0.464
83.1,0.474
86,0.463
87.8,0.414
85.8,0.457
83.7,0.449
87.5,0.471
88.5,0.459
89.1,0.471
90.4,0.372
89.7,0.442
86.7,0.411
82.7,0.437
81.3,0.36
81.9,0.417
86.5,0.462
90.3,0.459
88.7,0.453
85.6,0.409
83.7,0.381
80.5,0.397
83.7,0.447
81.2,0.533
84.7,0.527
88.8,0.529
90.6,0.483
92.2,0.517
90.8,0.524
85.6,0.55
81.6,0.533
73.2,0.558
80.2,0.546
83.6,0.391
80.1,0.524
81.4,0.446
84.4,0.413
84.4,0.476
85,0.494
86.9,0.531
85.6,0.545
86.2,0.537
86.8,0.535
89.4,0.531
90.5,0.512
86,0.499
84.8,0.509
85.7,0.51
87.9,0.41
85.5,0.428
83.9,0.467
84,0.521
84.3,0.53
82.8,0.324
85.1,0.452
88.4,0.476
89.2,0.492
89.4,0.501
88.3,0.524
89,0.508
92.5,0.527
94.1,0.521
95.9,0.514
95.3,0.52
95.8,0.526
88.6,0.498
88.9,0.473
87.8,0.498
85.2,0.468
83.4,0.477
82.8,0.399
81.1,0.415
75.5,0.388
78.3,0.468
84.5,0.497
84.9,0.505
87.5,0.491
90.4,0.485
93.5,0.44
88.8,0.507
86.9,0.453
85.4,0.487
86.5,0.494
89.8,0.419
90.5,0.48
88.4,0.291
87.2,0.461
87.8,0.471
89.4,0.476
92.1,0.477
92.9,0.474
94.4,0.476
94.5,0.406
94.4,0.46
94.7,0.465
88.6,0.439
84.4,0.387
84.8,0.471
87.8,0.46
90.9,0.44
90.6,0.416
89.8,0.441
89.3,0.404
87,0.41
85.1,0.449
85.9,0.445
88.1,0.441
90.9,0.436
90.5,0.442
84.4,0.145
83.1,0.294
74.9,0.518
77.4,0.451
77.5,0.307
77.3,0.289
83.9,0.512
88.1,0.522
86.2,0.541
85.7,0.517
87.2,0.508
90.9,0.529
91,0.525
92.1,0.505
93.1,0.461
92.1,0.514
86.9,0.522
89.2,0.522
86.7,0.533
88,0.521
90.9,0.524
92.9,0.462
89.9,0.463
85.7,0.495
89.7,0.443
88.9,0.492
89.9,0.518
88.9,0.529
75.1,0.415
67.4,0.149
68.7,0.162
71.4,0.249
76.5,0.392
77.3,0.318
80.4,0.493
84.2,0.512
81.9,0.461
80.2,0.426
80.8,0.41
83.5,0.483
86.6,0.519
88.2,0.527
84,0.497
79.2,0.468
83.4,0.511
85,0.502
84.6,0.506
83.6,0.501
83.7,0.448
78.8,0.349
78.7,0.348
82.6,0.446
82.7,0.501
83.3,0.342
78.9,0.422
76.8,0.475
79.4,0.5
80.9,0.405
84.1,0.507
84.7,0.425
81.2,0.505
82.3,0.496
83.2,0.381
82.6,0.403
79.5,0.447
81.5,0.482
83.5,0.483
84.5,0.48
85.4,0.487
87.2,0.482
86.7,0.462
85.5,0.482
81,0.295
76.6,0.402
76.3,0.415
73.1,0.262
72.5,0.264
72.7,0.309
74.3,0.366
77.1,0.448
80.3,0.442
80.7,0.483
82.8,0.477
81.6,0.432
83.2,0.436
85.4,0.45
84.7,0.473
86.6,0.472
84.7,0.468
84.8,0.472
84.9,0.458
84.2,0.441
81.5,0.452
81.2,0.387
